Unnamed: 0,id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
0,528872,3,MissedShots,99.91800186157226,25.76000061035156,0.0332528203725814,Donyell Malen,h,9749,OpenPlay,2022,LeftFoot,19639,Borussia Dortmund,Mainz 05,2,2,2023-05-27 13:30:00,Marius Wolf,Pass
1,528873,6,BlockedShot,98.69800186157227,41.52000122070312,0.0484316162765026,Sébastien Haller,h,6144,OpenPlay,2022,RightFoot,19639,Borussia Dortmund,Mainz 05,2,2,2023-05-27 13:30:00,Mats Hummels,Pass
2,528874,6,SavedShot,110.16600372314454,48.16000061035156,0.0481553301215171,Niklas Süle,h,75,FromCorner,2022,RightFoot,19639,Borussia Dortmund,Mainz 05,2,2,2023-05-27 13:30:00,Julian Brandt,Cross
3,528877,18,SavedShot,107.97,40.0,0.75777667760849,Sébastien Haller,h,6144,Penalty,2022,RightFoot,19639,Borussia Dortmund,Mainz 05,2,2,2023-05-27 13:30:00,,Standard
4,528879,29,MissedShots,114.07000000000001,42.07999877929687,0.095480628311634,Emre Can,h,604,OpenPlay,2022,Head,19639,Borussia Dortmund,Mainz 05,2,2,2023-05-27 13:30:00,Mats Hummels,Aerial
5,528880,31,BlockedShot,96.25800186157227,32.0,0.0298637822270393,Raphael Guerreiro,h,3455,OpenPlay,2022,LeftFoot,19639,Borussia Dortmund,Mainz 05,2,2,2023-05-27 13:30:00,Marius Wolf,Pass
6,528881,33,SavedShot,112.85000000000001,26.239999389648432,0.04439352825284,Julian Brandt,h,261,OpenPlay,2022,RightFoot,19639,Borussia Dortmund,Mainz 05,2,2,2023-05-27 13:30:00,Niklas Süle,Chipped
7,528883,42,BlockedShot,90.15800186157227,31.360000610351562,0.0145172933116555,Niklas Süle,h,75,OpenPlay,2022,RightFoot,19639,Borussia Dortmund,Mainz 05,2,2,2023-05-27 13:30:00,Emre Can,Pass
8,528884,42,MissedShots,102.84600372314453,27.200000000000003,0.0339324884116649,Raphael Guerreiro,h,3455,OpenPlay,2022,LeftFoot,19639,Borussia Dortmund,Mainz 05,2,2,2023-05-27 13:30:00,Niklas Süle,
9,528885,43,SavedShot,107.97,47.03999938964844,0.2781310975551605,Julian Brandt,h,261,OpenPlay,2022,RightFoot,19639,Borussia Dortmund,Mainz 05,2,2,2023-05-27 13:30:00,Marco Reus,TakeOn
10,528886,46,SavedShot,91.25600372314453,33.36000061035156,0.0167365316301584,Mats Hummels,h,373,OpenPlay,2022,RightFoot,19639,Borussia Dortmund,Mainz 05,2,2,2023-05-27 13:30:00,Julian Ryerson,Pass
11,528887,46,MissedShots,109.06800186157226,49.6,0.017812393605709,Niklas Süle,h,75,FromCorner,2022,Head,19639,Borussia Dortmund,Mainz 05,2,2,2023-05-27 13:30:00,Julian Brandt,Cross
12,528888,48,ShotOnPost,120.65800186157229,33.679998779296874,0.4935182332992553,Donyell Malen,h,9749,OpenPlay,2022,Head,19639,Borussia Dortmund,Mainz 05,2,2,2023-05-27 13:30:00,Julian Ryerson,Aerial
13,528890,52,SavedShot,89.79199813842774,59.35999755859375,0.0115163261070847,Julian Brandt,h,261,OpenPlay,2022,RightFoot,19639,Borussia Dortmund,Mainz 05,2,2,2023-05-27 13:30:00,Raphael Guerreiro,Pass
14,528892,58,MissedShots,119.80399627685549,45.36000061035156,0.366250067949295,Sébastien Haller,h,6144,OpenPlay,2022,RightFoot,19639,Borussia Dortmund,Mainz 05,2,2,2023-05-27 13:30:00,Youssoufa Moukoko,Cross
15,528893,61,MissedShots,100.40600372314452,43.83999938964844,0.0441636405885219,Emre Can,h,604,OpenPlay,2022,LeftFoot,19639,Borussia Dortmund,Mainz 05,2,2,2023-05-27 13:30:00,,
