Unnamed: 0,id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
0,530523,32,BlockedShot,97.60000000000001,25.2,0.0274847708642482,Ben Touré,h,11552,OpenPlay,2022,RightFoot,20018,Ajaccio,Marseille,1,0,2023-06-03 17:00:00,Michael Barreto,Pass
1,530539,86,BlockedShot,98.69800186157227,56.640002441406246,0.0448130890727043,Ivane Chegra,h,11493,OpenPlay,2022,RightFoot,20018,Ajaccio,Marseille,1,0,2023-06-03 17:00:00,Mehdi Puch-Herrantz,Pass
2,530540,87,Goal,102.72399627685546,41.279998779296875,0.0570911467075347,Clement Vidal,h,8141,FromCorner,2022,RightFoot,20018,Ajaccio,Marseille,1,0,2023-06-03 17:00:00,,
3,530521,2,SavedShot,11.663996276855471,66.8,0.0549893379211425,Ruslan Malinovskiy,a,7947,DirectFreekick,2022,LeftFoot,20018,Ajaccio,Marseille,1,0,2023-06-03 17:00:00,,Standard
4,530522,9,BlockedShot,16.299999999999997,44.63999938964844,0.0671752765774726,Alexis Sánchez,a,498,OpenPlay,2022,LeftFoot,20018,Ajaccio,Marseille,1,0,2023-06-03 17:00:00,,
5,530524,34,MissedShots,10.321998138427745,39.83999938964843,0.0216796938329935,Chancel Mbemba,a,849,FromCorner,2022,Head,20018,Ajaccio,Marseille,1,0,2023-06-03 17:00:00,Jordan Veretout,Aerial
6,530525,40,MissedShots,29.841998138427726,50.32000122070313,0.0169573910534381,Ruslan Malinovskiy,a,7947,OpenPlay,2022,LeftFoot,20018,Ajaccio,Marseille,1,0,2023-06-03 17:00:00,Issa Kabore,Pass
7,530526,43,MissedShots,8.491998138427732,35.92000122070313,0.1157089844346046,Cengiz Ünder,a,6162,OpenPlay,2022,Head,20018,Ajaccio,Marseille,1,0,2023-06-03 17:00:00,Alexis Sánchez,Cross
8,530527,44,SavedShot,10.810000000000002,38.23999938964843,0.3159633278846741,Ruslan Malinovskiy,a,7947,OpenPlay,2022,LeftFoot,20018,Ajaccio,Marseille,1,0,2023-06-03 17:00:00,Matteo Guendouzi,Chipped
9,530528,44,BlockedShot,16.909999999999997,26.240002441406247,0.0335657708346843,Cengiz Ünder,a,6162,OpenPlay,2022,LeftFoot,20018,Ajaccio,Marseille,1,0,2023-06-03 17:00:00,,Rebound
10,530529,44,BlockedShot,15.811998138427725,28.159997558593744,0.0441446341574192,Cengiz Ünder,a,6162,OpenPlay,2022,RightFoot,20018,Ajaccio,Marseille,1,0,2023-06-03 17:00:00,,Rebound
11,530530,45,MissedShots,13.25,40.23999938964844,0.0148772969841957,Leonardo Balerdi,a,7486,SetPiece,2022,Head,20018,Ajaccio,Marseille,1,0,2023-06-03 17:00:00,Jordan Veretout,Aerial
12,530531,45,MissedShots,30.573996276855468,36.4,0.0197322126477956,Ruslan Malinovskiy,a,7947,OpenPlay,2022,LeftFoot,20018,Ajaccio,Marseille,1,0,2023-06-03 17:00:00,Alexis Sánchez,LayOff
13,530532,50,MissedShots,23.741998138427732,51.67999877929688,0.0283792521804571,Cengiz Ünder,a,6162,OpenPlay,2022,LeftFoot,20018,Ajaccio,Marseille,1,0,2023-06-03 17:00:00,Ruslan Malinovskiy,Pass
14,530533,54,SavedShot,13.981998138427727,41.76000061035156,0.1116962805390358,Ruslan Malinovskiy,a,7947,OpenPlay,2022,LeftFoot,20018,Ajaccio,Marseille,1,0,2023-06-03 17:00:00,Cengiz Ünder,Pass
15,530534,56,MissedShots,28.988001861572258,29.360000610351562,0.016382236033678,Ruslan Malinovskiy,a,7947,OpenPlay,2022,LeftFoot,20018,Ajaccio,Marseille,1,0,2023-06-03 17:00:00,Alexis Sánchez,Pass
16,530535,59,ShotOnPost,30.69600372314453,48.8,0.0172503348439931,Jordan Veretout,a,677,OpenPlay,2022,LeftFoot,20018,Ajaccio,Marseille,1,0,2023-06-03 17:00:00,Cengiz Ünder,Pass
17,530536,66,BlockedShot,4.221998138427722,49.2,0.0838084518909454,Issa Kabore,a,9619,OpenPlay,2022,RightFoot,20018,Ajaccio,Marseille,1,0,2023-06-03 17:00:00,Cengiz Ünder,
18,530537,80,MissedShots,4.58800186157228,52.16000061035157,0.2768276929855346,Vitinha,a,11380,OpenPlay,2022,RightFoot,20018,Ajaccio,Marseille,1,0,2023-06-03 17:00:00,Matteo Guendouzi,Pass
19,530538,84,MissedShots,29.841998138427726,47.52000122070313,0.0107392016798257,Nuno Tavares,a,9691,OpenPlay,2022,LeftFoot,20018,Ajaccio,Marseille,1,0,2023-06-03 17:00:00,,Aerial
20,530545,13,MissedShots,111.26399627685548,42.0,0.3314754366874695,Joia Nuno Da Costa,h,5977,OpenPlay,2022,Head,20019,Auxerre,Lens,1,3,2023-06-03 17:00:00,Akim Zedadka,Cross
21,530547,20,MissedShots,98.82000000000001,35.2,0.0527558699250221,Han-Noah Massengo,h,7264,OpenPlay,2022,RightFoot,20019,Auxerre,Lens,1,3,2023-06-03 17:00:00,Joia Nuno Da Costa,Pass
22,530552,50,MissedShots,96.86800186157227,32.400000000000006,0.0395938903093338,Han-Noah Massengo,h,7264,OpenPlay,2022,LeftFoot,20019,Auxerre,Lens,1,3,2023-06-03 17:00:00,Siriki Dembélé,Pass
23,530553,54,BlockedShot,104.79800186157227,57.35999755859375,0.0271494090557098,Gaetan Perrin,h,3285,OpenPlay,2022,RightFoot,20019,Auxerre,Lens,1,3,2023-06-03 17:00:00,Rayan Raveloson,Chipped
24,530554,54,MissedShots,112.72800186157227,43.92000122070313,0.0864536762237548,Han-Noah Massengo,h,7264,OpenPlay,2022,LeftFoot,20019,Auxerre,Lens,1,3,2023-06-03 17:00:00,Gideon Mensah,Cross
25,530557,66,BlockedShot,108.21399627685547,22.799999999999997,0.0320807509124279,Lassine Sinayoko,h,10815,OpenPlay,2022,LeftFoot,20019,Auxerre,Lens,1,3,2023-06-03 17:00:00,Hamza Sakhi,Chipped
26,530559,70,Goal,113.58199813842772,41.439999389648435,0.5024047493934631,M&#039;Baye Niang,h,1126,OpenPlay,2022,LeftFoot,20019,Auxerre,Lens,1,3,2023-06-03 17:00:00,,BallRecovery
27,530560,71,SavedShot,79.42199813842772,35.439999389648435,0.0111788623034954,Birama Touré,h,3415,OpenPlay,2022,RightFoot,20019,Auxerre,Lens,1,3,2023-06-03 17:00:00,Lassine Sinayoko,Pass
28,530561,76,MissedShots,111.63000000000001,45.52000122070312,0.2572747766971588,Souleymane Isaak Touré,h,10854,OpenPlay,2022,Head,20019,Auxerre,Lens,1,3,2023-06-03 17:00:00,Gideon Mensah,Cross
29,530563,78,SavedShot,105.16399627685547,35.439999389648435,0.0739814639091491,Matthis Abline,h,9490,OpenPlay,2022,RightFoot,20019,Auxerre,Lens,1,3,2023-06-03 17:00:00,M&#039;Baye Niang,BallTouch
30,530564,79,SavedShot,109.43399627685547,41.679998779296874,0.2768038213253021,M&#039;Baye Niang,h,1126,OpenPlay,2022,RightFoot,20019,Auxerre,Lens,1,3,2023-06-03 17:00:00,Lassine Sinayoko,HeadPass
31,530565,80,BlockedShot,104.79800186157227,45.36000061035156,0.0622249469161033,Lassine Sinayoko,h,10815,FromCorner,2022,LeftFoot,20019,Auxerre,Lens,1,3,2023-06-03 17:00:00,,
32,530566,80,BlockedShot,108.33600372314453,32.0,0.0700499787926673,Rayan Raveloson,h,10922,FromCorner,2022,LeftFoot,20019,Auxerre,Lens,1,3,2023-06-03 17:00:00,,
